私はよく勉強しますから、とても忙しいです。,私はたくさん勉強しますから、とても忙しいです。
母はピアノを引いて、父は会計士です。,母はピアノをひいて、父は会計士です。
凄い家族ですが、フランスに住んでいます。,凄い家族ですが、フランスに住んでいます。
私は、家族が三人います。,私は、家族が三人います。
家族はとても優しくて元気です。,家族のみんなはとても優しくて元気です。
父はレストランに勤めています。,父はレストランに勤めています。
寿司のシェフです。,寿司のシェフです。
美味しい寿司を作るのが上手です。,美味しい寿司を作るのが上手です。
母の料理も美味しいです。,母の料理も美味しいです。
アメリカに来た時、料理をするのが知っていませんでしたが母は自分で習いました。,アメリカに来た時、料理をするのを知りませんでしたが、母は自分で習いました。
しかし、私は料理するのが下手です。,しかし、私は料理するのが下手です。
兄は大学院生です。,兄は大学院生です。
兄の専攻は経営学です。,兄の専攻は経営学です。
兄は忙しです。,兄は忙しいです。
たくさんプロジェケトがありますから。,たくさんプロジェケトがありますから。
時々、一緒にコンピューターのゲムをします。,時々、一緒にコンピューターのゲームをします。
私の家族が大好きです。,私の家族が大好きです。
私の趣味はたくさんあります。,私は趣味がたくさんあります。
忙しいですが、満足です。,忙しいですが、満足しています。
言語を勉強するのが好きですから、よく新しい文化について学びます。,言語を勉強するのが好きですから、よく新しい文化について学びます。
今中国語、スペイン語、日本語、韓国語を勉強しています。,今中国語、スペイン語、日本語、韓国語を勉強しています。
とても便利なスキルです。,とても便利なスキルです。
例えば、病院にたくさん中国人患者がいます。,例えば、病院にたくさん中国人の患者がいます。
私は彼らが医者の言葉を分かるのを手伝います。,私は彼らが医者の言葉が分かるようになるのを手伝います。
それからダンス、歌、フィギュアスケート、演技が大好きです。,それからダンス、歌、フィギュアスケート、演技が大好きです。
ピアノ、バイオリン、クラリネット、ギターも楽しんでいます。,ピアノ、バイオリン、クラリネット、ギターも楽しんでいます。
この世界は大きくて、綺麗です。,この世界は大きくて、綺麗です。
その時、踊りを振り付けて、歌を書きます。,その時、踊りを振り付けて、歌を書きます。
自分の気持ちを音楽にして、素晴らしい気持ちですよ。,自分の気持ちを音楽にするのは、素晴らしい気持ちになりますよ。
MITは中学生と高校生の為に作ったプログラムがたくさんあります。,MITは中学生と高校生の為に作ったプログラムがたくさんあります。
あの生徒たちの学校はあまりお金がたくさんありませんから、先生たちは忙しくて、疲れています。,あの学校の生徒たちはあまりお金がたくさんありませんから、先生たちは忙しくて、疲れています。
全ての学生を手伝う時間がありませんが、MITはリソースがあります。,全ての学生を手伝う時間がありませんが、MITはリソースがあります。
生徒たちと楽しい実験をして、面白い先生と話して、ラブツアーに行きます。,生徒たちと楽しい実験をして、面白い先生と話して、ラブツアーに行きます。
生徒たちは新しいことを学んで、たくさん質問をします。,生徒たちは新しいことを学んで、たくさん質問をします。
それは私を幸せにします。,それは私を幸せにします。
たくさん趣味がありますが、それらは全て私に特別な物です。,たくさん趣味がありますが、それらは全て私に特別なことです。
今、たくさん趣味が有りません、MITの学生ですから。,今、MITの学生ですから、あまり趣味が有りません。
よく宿題と勉強がありますから、趣味をするの時間が有りません。,よく宿題と勉強がありますから、趣味をする時間が有りません。
週末、よく友達とヴィデオゲームをして、たいてい休みます。,週末、よく友達とビデオゲームをして、たいてい休みます。
それから、cryptocurrencyを売り込んでいますから、よく価格を見ます。,それから、cryptocurrencyを売り込んでいますから、よく価格を見ます。
今、市場は悪いです、だからお金をちょっと失った。,今、市場は悪いですから、ちょっと損した。
高校の時、私は楽団員で、バリトンを演奏して、マーチングバンドをしました。,高校の時、私は楽団員で、バリトンを演奏して、マーチングバンドをしました。
子供の時、フルトとテナー・サクソフォンも演奏しました。,子供の時、フルートとテナー・サクソフォンも演奏しました。
マーチングバンドはとても難しくて、楽しいと思いました。,マーチングバンドはとても難しくて、楽しいと思いました。
毎晩運動しました。,毎晩運動しました。
よく高校と家の間の公園に走りました。,よく高校と家の間の公園で走りました。
私の家族は二人います。,私の家族は二人います。
兄弟がいません。,兄弟がいません。
両親は中国の杭州に住んでいますけど、私はアメリカのボストンに住んでいます。,両親は中国の杭州に住んでいますけど、私はアメリカのボストンに住んでいます。
父は中国の会社に勤めていて、頭がよくて、忙しい人です。,父は中国の会社に勤めていて、頭がよくて、忙しい人です。
毎日はやく会社に行って、遅く帰って、よく週末休みません。,毎日はやく会社に行って、遅く帰って、あまり週末休みません。
会社員の仕事はとても大変だと思います。,会社員の仕事はとても大変だと思います。
母は綺麗で、親切です。,母は綺麗で、親切です。
病院に勤めています。,病院に勤めています。
それから料理するのがすごく上手です。,それから料理するのがすごく上手です。
だから私がいつも元気で、あまり病院に行きませんよ。,だから私がいつも元気で、あまり病院に行きませんよ。
私は二十一歳で、三年生で、MITに言語学とコンピュータを専攻しに来ています。,私は二十一歳で、三年生で、MITで言語学とコンピュータを専攻しています。
大学の時、母が日本語を勉強しました。,大学の時、母が日本語を勉強しました。
そして私も日本語を勉強するのが大好きで、毎日話しています。,そして私も日本語を勉強するのが大好きで、毎日話しています。
私は暇でわありませんが、毎週家に電話をかけています。,私は暇はありませんが、毎週家に電話をかけています。
私の家族を思っていますから。,私の家族を思っていますから。
今日は、私のちゅうごく人の友だちをしょうかいします。,今日は、私のちゅうごく人の友だちをしょうかいします。
友だちの名前は、リンさんです。,友だちの名前は、リンさんです。
リンさんは、MITのよんねんせいで、せんこうはコンピューターです。,リンさんは、MITのよねんせいで、せんこうはコンピューターです。
子どもの時、リンさんはちゅうごくのふくしゅうしにすんでいました。,子どもの時、リンさんは中国の福州市にすんでいました。
十一さいの時、ニューヨークに行っていました。,十一さいの時、ニューヨークに行きました。
今ケンブリッジにすんでいます。,今ケンブリッジにすんでいます。
リンさんは、とてもあたまがよくて、おもしろいです。,リンさんは、とてもあたまがよくて、おもしろいです。
きょねんのなつ、リンさんはアマゾンにつとめていました。,きょねんのなつ、リンさんはアマゾンにつとめていました。
仕事はむずかしくなかったと言っていました。,仕事はむずかしくなかったと言っていました。
リンさんは、うたをうたうのがすきですから、よくカラオケに行きます。,リンさんは、うたをうたうのがすきですから、よくカラオケに行きます。
たくさんちゅうごくのうたがじょうずで、日本のうたも知っています。,とてもちゅうごくのうたがじょうずで、日本のうたも知っています。
それから、リンさんは、こわいえいががだいすきです。,それから、リンさんは、こわいえいががだいすきです。
日本のこわいえいがはいいと言っていました。,日本のこわいえいがはいいと言っていました。
私の家族は六人です、あねが三人います。,私の家族は六人で、あねが三人います。
母と父はマイアミにすんでいますが、きょうだいはマイアミにすんでいません。,母と父はマイアミにすんでいますが、きょうだいはマイアミにすんでいません。
あねのなまえはジャキとクリステイナとエリカです。,あねのなまえはジャキとクリステイナとエリカです。
ジャキさんはテクサスにすんでいて、ウエークフォレスト大学いんで、 癌生物学をべんきょうしています。,ジャキさんはテクサスにすんでいて、ウエークフォレスト大学院で、 癌生物学をべんきょうしています。
クリステイーナさんはメアリーランドにすんで、いしゃにつとめています。,クリステイーナさんはメアリーランドにすんで、医者としてつとめています。
エリカさんはフロリダ大学で機械工学をべんきょうしています。,エリカさんはフロリダ大学で機械工学をべんきょうしています。
家族はとてもおもしろいです。,家族はとてもおもしろいです。
母と父は学校に行きませんでしたが、きょうだいはみんな大学か大学いんでべんじょうしています。,母と父は学校に行きませんでしたが、きょうだいはみんな大学か大学院でべんじょうしています。
とてもあたまがいいぎいです。,とてもあたまがいいです。
あねみんなべんきょうするのがすきです。,姉達は、みんなべんきょうするのがすきです。
私はべんきょうするのがすきじゃないです。,私はべんきょうするのがすきじゃないです。
私の家族は三人です。,私の家族は三人です。
私は一人っ子ですが、子供の時全然寂しくなかったです。,私は一人っ子ですが、子供の時全然寂しくなかったです。
父は大学の先生で、とても親切で面白い人です。,父は大学の先生で、とても親切で面白い人です。
彼は若時から合気道を連取していて、私に子供の時から教えています。,彼は若い時から合気道を練習していて、私に子供の時から教えています。
母も大学に勤めていて、頭がいい人です。,母も大学に勤めていて、頭がいい人です。
母は時々料理しますが、父は料理するのが好きでとても上手ですから、彼がたいてい晩ご飯を作ります。,母は時々料理しますが、父は料理するのが好きでとても上手ですから、彼がたいてい晩ご飯を作ります。
家族はフロリダに住んでいます。,家族はフロリダに住んでいます。
私は出身にいる時はよく祖父と祖母に会いに行きます。,私は田舎にいる時はよく祖父と祖母に会いに行きます。
祖父と祖母は私の家の近くに住んでいますから、とても便利です。,祖父と祖母は私の家の近くに住んでいますから、とても便利です。
祖母はとてもやさしくて、元気な人です。,祖母はとてもやさしくて、元気な人です。
祖母と一緒に料理するのが大好きです。,祖母と一緒に料理するのが大好きです。
祖父は面白い人です。,祖父は面白い人です。
祖父と祖母はアラビア語だけを話して、私はアラビア語を話すのがまだまだですから、時々会話するのがちょっと難しいです。,祖父と祖母はアラビア語だけを話して、私はアラビア語を話すのがまだまだですから、時々会話するのがちょっと難しいです。
でも、父は私のアラビア語の勉強を手伝いて、私はすぐに祖父と祖母とアラビア語を上手に話すと言っています。,でも、父は私のアラビア語の勉強を手伝ってくれていて、私はすぐに祖父と祖母とアラビア語で上手に話せるようになると言っています。
私のかぞくは五人います。,私のかぞくは五人います。
父と母はメキシコ人です。,父と母はメキシコ人です。
父の食べものはときどきおいしいで、母の食べものはいつもとてもおいしいいです。,父の食べものはときどきおいしいけど、母の食べものはいつもとてもおいしいいです。
父のなまえはアルノルドです。,父の名前はアルノルドです。
母のなまえはマリアです。,母の名前はマリアです。
私のあねのなまえはラウラとベアテイリズです。,私の姉の名前はラウラとベアテイリズです。
ラウラさんは二十九さいで、そして高校の先生です。,ラウラさんは二十九さいで、高校の先生です。
ラウラさんは2人のこどもとけっこんしています。,ラウラさんは結婚していて、二人の子供がいます。
ラウラさんはときどき仕事はむずかしいと言っていました、けど私はあねの仕事はやさしいと思います。,ラウラさんはときどき仕事はむずかしいと言っていましたけど、私はあねの仕事はやさしいと思います。
ベアテイリズさんは大学にすうがくをべんきょうしに行きました。,ベアテイリズさんは大学に数学を勉強しに行きました。
ベアテイリズさんはちょっ食べますから、やせています。,ベアテイリズさんはちょっとしか食べませんから、やせています。
ベアテイリズさんは本を読むのがすきです。,ベアテイリズさんは本を読むのがすきです。
私とラウラさんとベアテイリズさんはコンサートにうたを聞きに行きました。,私とラウラさんとベアテイリズさんはコンサートにうたを聞きに行きました。
たのしいですよ。,たのしいですよ。
今年八月私はうちで帰ります。,今年八月私はうちに帰ります。
私とかぞは話します、そして母の食べもの食べます。,私は家族のみんなと話したり、て母の食べもの食べたりします。
この九月私のともだちは私に囲碁についておしえました。,この九月私のともだちは私に囲碁について教えてくれました。
なつの時、アーロンさんはアニメを見ました、それからうちはじめました。,なつの時、アーロンさんはアニメを見てからうちはじめました。
アーロンさのうつのが上手で、私のうつのが下手ですけど、よく一緒に囲碁をうちます。,アーロンさんは、囲碁をうつのが上手で、私は、うつのが下手ですけど、よく一緒に囲碁をうちます。
囲碁はアメリカであまりゆうめいじゃないですが、ボストンでたくさん囲碁がおもしろいと思う人がいます。,囲碁はアメリカであまり有名じゃないですが、ボストンにたくさん囲碁がおもしろいと思う人がいます。
囲碁のサークルのメンバーは、みんなしんせつで、私たちをてつだっています。,囲碁のサークルのメンバーは、みんなしんせつで、私たちをてつだってくれます。
ケンブリッジとしょかんでうつ一人は私たちの先生です。,ケンブリッジ図書館でうつ一人は私たちの先生です。
なまえはチョーさんです。,名前はチョーさんです。
かん国人で、七十七さいです。,韓国人で、七十七さいです。
ときどきチョー先生のうちにも囲碁を勉強しに行きます。,ときどきチョー先生の家にも囲碁を勉強しに行きます。
たくさんうつ時、私はどこでも囲碁を見はじめます、ねる時も囲碁について思います。,たくさんうった時、私はいつも囲碁のことを考えるし、ねる時も囲碁について色々考えます。
囲碁はとても難しいゲームですけど、とてもおもしろくて、きれいです。,囲碁はとても難しいゲームですけど、とてもおもしろくて、きれいです。
私は、四人かぞくです。,私は、四人家族です。
おとうとが一人いて、二十三さいです。,おとうとが一人いて、二十三さいです。
おとうとは、メリーランドにすんでいて、コンピュータの会社員です。,おとうとは、メリーランドにすんでいて、コンピュータの会社員です。
とてもしずかでから、子どもの時、あまりはなしませんでした。,とてもしずかでから、子どもの時、あまり話しませんでした。
今、時々はなします。,今、時々話します。
私のりょうしん は 、カリフォルニア にすんでいます。,私の両親 は 、カリフォルニア に住んでいます。
母は、小学校の先生でしたが今、しゅふです。,母は、小学校の先生でしたが今、主婦です。
父は、かぞくの会社で社ちょうです。,父は、家族の会社の社長です。
いそがしい人ですが、しんせつです。,いそがしい人ですが、しんせつです。
らいねんの十月、私はけっこんします。,来年の十月、私は結婚します。
私のフィアンセは、ボストンにすんでいます。,私のフィアンセは、ボストンにすんでいます。
いそがしくて、とてもあたまがいい人です。,いそがしくて、とてもあたまがいい人です。
りょうりがじょうずで、アジアの食べものがすきです。,閭里が上手で、アジアの食べものが好きです。
ねこが二ひきいて、かわいくて元気ですよ。,ねこが二ひきいて、かわいくて元気ですよ。
このねこも、私のかずくだ、と思います。,このねこも、私のかずくだと思っています。
私の家族は四人の家族です。,私の家族は四人の家族です。
父は会社に勤めていますから、忙しいです。,父は会社に勤めていますから、忙しいです。
でも休みの時、父は時々私にゴルフを教えます。,でも休みの時、父は時々私にゴルフを教えてくれます。
父はゴルフをするのが上手で、すごくかっこいい人です。,父はゴルフをするのが上手で、すごくかっこいい人です。
私の母はとても優しい人です。,私の母はとても優しい人です。
母の中国の料理は一番だと思います。,母の中国の料理は一番だと思います。
母のチキンスープが大きです。,母のチキンスープはおいしいです。
それから、兄弟は一人います。,それから、兄弟は一人います。
弟です。,弟です。
弟はすごく面白い子供です。,弟はすごく面白い子供です。
今、高校の三年生ですから、大学のテストを勉強して、忙しいです。,今、高校の三年生ですから、大学のテストを勉強していて、忙しいです。
来年、有名な大学を絶対に入ると言っています。,来年、有名な大学に絶対に入ると言っています。
私もそう思います。,私もそう思います。
私は今年の春に六つの大学院のオープンハウスに参加するから、旅行をたくさんします。,私は今年の春に六つの大学院のオープンハウスに参加するから、旅行をたくさんします。
オープンハウスは、大学院の先生が将来の学生に学校を紹介するイヴェントです。,オープンハウスは、大学院の先生が将来の学生に学校を紹介するイベントです。
私はオープンハウスに大学院の先生達に会って、勉強と研究について話します。,私はオープンハウスで大学院の先生達に会って、勉強と研究について話します。
まずは三月十二日にボストンからサンフランシスコまで飛行機で行って、空港で電車に乗って、スタンフォード大学へ行きます。,まず、三月十二日にボストンからサンフランシスコまで飛行機で行って、空港から電車に乗って、スタンフォード大学へ行きます。
次は、三月十四日にバスで近くのバークレー大学へいって、二日間います。,次は、三月十四日にバスで近くのバークレー大学へ行って、二日間そちらに滞在します。
週末はボストンに飛行機で帰って、ちょっと休んで、日曜日にロスアンジェルスのカルテックへ行きます。,週末はボストンへ飛行機で帰って来て、ちょっと休んで、日曜日にロスアンジェルスのカルテックへ行きます。
春休みに私は友達とマイアミへ海で遊びに行きます。,春休みに私は友達とマイアミの海へ遊びに行きます。
その後の三月二十八日にプリンストン大学へ行きます。,その後の三月二十八日にプリンストン大学へ行きます。
オープンハウスに参加して、あそこの友達に会います。,オープンハウスに参加して、あそこの友達に会います。
最後の二つの学校はハーバード大学とMITです。,最後の二つの学校はハーバード大学とMITです。
クラスのあとでオープンハウスに行くつもりです。,クラスのあとでオープンハウスに行くつもりです。
今年の春は本当に大変で、忙しいと思います。,今年の春は本当に大変で、忙しいと思います。
踊るのがとても大好きですけど、上手じゃないです。,踊るのがとても大好きですけど、上手じゃないです。
高校の時、私の友達とJ-POPをしました。,高校の時、私の友達とJ-POPをしました。
私の友達も踊るのが好きです。,私の友達も踊るのが好きです。
友達は一緒に躍りましょかと言っていました。,友達は一緒に躍りましょかと言っていました。
高校三年の夏、私はダンスをは始めました。,高校三年の夏、私はダンスを始めました。
次の夏、J-POPとK-POPしました。,次の夏、J-POPとK-POPしました。
毎日、学校と家で二時間ぐらい踊りました。,毎日、学校と家で二時間ぐらい踊りました。
週末、ダンスワークショップに行きました。,週末、ダンスワークショップに行きました。
今、MITのADTをします。,今、MITのADTをしています。
ADTで、たくさん友達と会いました。,ADTで、たくさん友達に会いました。
毎週の金曜日、二時間練習あります。,毎週金曜日に、二時間練習があります。
でも、よくOffice Hourに行きます。,でも、よくOffice Hourに行きます。
火曜日と木曜日たくさんクラスがありませんから、McCormickのスタジオで一人で踊ります。,火曜日と木曜日たくさんクラスがありませんから、McCormickのスタジオで一人で踊ります。
だから、毎週七時間ぐらいダンスおします。,だから、毎週七時間ぐらいダンスをします。
私のかぞくはちょうと大きいと思います。,私のかぞくはちょうと大きいと思います。
かぞくは九人いて、ぎりの兄弟が四人いて、弟が一人います。,家族は九人いて、ぎりの兄弟が四人いて、弟が一人います。
子どもの時、毎週末私とぎりの弟は外にあそびました。,子どもの時、毎週、週末は、私とぎりの弟は外であそびました。
火を作るのがすきでした。,焚き火をするのがすきでした。
時どき、火の上で卵をりょうりしました。,時どき、火の上で卵をりょうりしました。
今ぎりの兄弟はオハイオ州に住んでいませんから、あまり見ません。,今義理の兄弟はオハイオ州に住んでいませんから、あまり会いません。
父の仕事は銀行員です。,父の仕事は銀行員です。
父はハンティントン・バンクにつとめていますけど、かぞくの銀行じゃないです。,父はハンティントン・バンクにつとめていますけど、かぞくの銀行じゃないです。
今ぎりの母とぎりの父は仕事がありません。,今、義理の母と義理の父は仕事がありません。
毎日曜日かぞくに電話します。,毎週、日曜日にかぞくに電話します。
父とぎりの母はいぬと毎日さんぽするのがすきです。,父と義理の母はいぬと毎日さんぽするのが好きです。
 先週さんぽしなかったと言っていました。, 先週さんぽしなかったと言っていました。
私 のかぞくが四人います。,私 のかぞくが四人います。
父と母と兄がいます。,父と母と兄がいます。
父と母はすごくやさしいですから、みんあはとても元気です。,父と母はすごくやさしいですから、みんあはとても元気です。
父と母はフォリダのミアミに住んでいます。,父と母はフォリダのマイアミに住んでいます。
ミアミはすごくあついです。,マイアミはすごくあついです。
父はUnited Airlines 会社につとめています。,父はUnited Airlines につとめています。
母は銀行につとめていましたが、今はしゅふです。,母は銀行につとめていましたが、今は主婦です。
母は54歳です。,母は54歳です。
それから父は49歳です。,それから父は49歳です。
兄は24歳です。,兄は24歳です。
大学の時せんこうはけいざいでしたから、今はヘジファンドにつとめています。,大学の時、専攻は経済でしたから、今はヘジファンドにつとめています。
ニューヨークにすんでいます。,ニューヨークに住んでいます。
兄はいそがしいですから、ちょっとふとっています。,兄はいそがしいですから、ちょっと太っています。
私のしゅみはアニメを見て、マンガを読んで、おんがくを聞いて、ゲームをします。,私のしゅみはアニメを見て、マンガを読んで、おんがくを聞いて、ゲームをすることです。
高校の時、たくさん友だちともだちがいました。,高校の時、たくさん、友だちがいました。
でも、わかい子どもの時友だちいませんでした。,でも、子どもの時、友だちがいませんでした。
私はさびしいでしたから、私は家にたくさんアニメを見にはじめました。,私はさびしかったから、家でたくさんアニメを見はじめました。
せんしゅうの金曜日七時ごろ私はアニメをともだちといっしょに見ました。,先週の金曜日七時ごろ私はアニメをともだちと一緒に見ました。
私は、そのアニメはたのしくて、おもしろいと思いました。,私は、そのアニメはたのしくて、おもしろいと思いました。
私はよくアニメをみてが、ときどきマンガを読みます。,私はよくアニメを見ますが、時々マンガも読みます。
火曜日と木曜日の午後、私はたいていアニメとしょかんにマンガを読みに行きます。,火曜日と木曜日の午後、私はたいていアニメ図書館へマンガを読みに行きます。
おととし私の友だちケーティさんはマンガがすきだと言っていました。,おととし私の友だちのケーティさんは、マンガがすきだと言っていました。
それから、ケーティさんと私はいっしょにマンガを読みにはじました。,それから、ケーティさんと私はいっしょにマンガを読みはじました。
しゅうまつ私はテレビを見て、ゲームをします。,週末、私はテレビを見て、ゲームをします。
あまりしゅくだいがありませんから。,あまり宿題がありませんから。
私はゲームをするのがへたですが、ゲームが大好きです。,私はゲームをするのがへたですが、ゲームが大好きです。
クラスをいきますの時、毎日私はおんがくを聞きます。,クラスを行く時、毎日私は音楽を聞きます。
私は日本語のおんがくを聞くのがすきですけど、たいてえい語を聞きます。,私は日本語の音楽を聞くのがすきですけど、たいてい英語の音楽を聞きます。
私はMITの二年生の学生で、しゅくだいとしけんがたくさんありますから、あまりひまでわありません。,私はMITの二年生の学生で、しゅくだいとしけんがたくさんありますから、あまりひまではありません。
でも、毎日家から学校まで歩く時おんがくをいつも聞きます。,でも、毎日家から学校まで歩いて来る時、音楽をいつも聞きます。
それから、ときどき時間がある時家でギターをひきます。,それから、ときどき時間があった時、家でギターをひきます。
私はおんがくを聞くのが大すきで、すきなジャンルはロックとヘビーメタルです。,私はおんがくを聞くのが大すきで、すきなジャンルはロックとヘビーメタルです。
私のすきなバンドは、アヴェンジド・セヴンフオールド、メタリカ、そうして、日本のBabymetal です。,私のすきなバンドは、アヴェンジド・セヴンフオールド、メタリカ、そうして、日本のBabymetal です。
ロックとヘビーメタルおんがくはとてもおもしろくて、すごくたのしいと思って、聞くのはとてもいいですけど、メタルのうたをうたうのはむずかしいですが、私はこのおんがくを大すきです。,ロックとヘビーメタルおんがくはとてもおもしろくて、すごくたのしいと思いますし、聞くのはいいですけど、メタルの歌を歌うのはむずかしいですが、私はこの音楽が大好きです。
それから、私は今学校で日本語を勉強していますから、Babymetal を聞くのはとても勉強をてつだいます。,それから、私は今学校で日本語を勉強していますから、Babymetal を聞くのはとても勉強をてつだいます。
日本のバンドですから、新しいたんごもぶんぽうを勉強するのはいいです。,日本の音楽ですから、新しい単語や文法を勉強するのには、いいです。
それから、ときどきギターをひきます。,それから、ときどきギターをひきます。
私はあまりギターをひくのが上手じゃないですが、ひくのが大好きです。,私はあまりギターをひくのが上手じゃないですが、ひくのが大好きです。
ときどきともだちとりょうでひきます。,時々ともだちと寮でひきます。
すごくたのしいです。,すごくたのしいです。
今日は、私のいもうとをしょうかいします。,今日は、私のいもうとをしょうかいします。
いもうとの名前は、美幸です。,いもうとの名前は、美幸です。
今美幸は九さいで、私の三ばんめのいもうとです。,今美幸は九さいで、私の三ばん目の妹です。
美幸はとてもやさしいです。,美幸はとてもやさしいです。
美幸は今りょおしんとケンブリッジにすんでいて、モールスがっこうの二ねん生です。,美幸は今両親とケンブリッジにすんでいて、モールス学校の二年生です。
美幸はわかいので、すごくかわいいです。,美幸はわかいので、すごくかわいいです。
めがねをかけて、かみがみじかくて、せがひくいです。,めがねをかけて、かみがみじかくて、せがひくいです。
美幸はおどりとソフトボールが大好ききです。,美幸はおどりとソフトボールが大好きです。
おどりのサークとソフトボールのサークルに入っています。,おどりのサークとソフトボールのサークルに入っています。
美幸はバービーが大好きです。,美幸はバービーが大好きです。
美幸とバービーとあそぶ。,美幸とバービーと遊ぶ。
